Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.13943,-0.12437,-0.34278,0,0,0,4.5671,0.20051,-8.0396E-05,0.00036454,0.19652,-0.0014165,0.026986,0,0,0,0,0,0,package://ur3/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://ur3/meshes/base_link.STL,,4160零件4 - 副本-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.028429,-0.10525,-0.058001,0,0,0,1.0689,0.0042774,0.00017477,-1.5776E-08,0.0011483,-2.8503E-08,0.0037421,0,0,0,0,0,0,package://ur3/meshes/link1.STL,1,1,1,1,0,0,0,0,0,0,package://ur3/meshes/link1.STL,,4160零件3-1,Origin_joint1,基准轴1,joint1,prismatic,-0.18,0.5841,-0.183,3.1416,0,-1.5708,base_link,0,0,0,100,1,0,0,,,,,,,,
link2,0.14475,-3.0463E-07,0.041307,0,0,0,2.5831,0.0036792,4.4029E-08,6.8027E-05,0.026394,-3.6629E-08,0.027895,0,0,0,0,0,0,package://ur3/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://ur3/meshes/link2.STL,,4160零件2-1,Origin_joint2,基准轴2,joint2,revolute,0.048996,-0.153,-0.058,-1.5708,0.13714,-1.5708,link1,0,0,-1,100,1,-3.14,3.14,,,,,,,,
link3,-0.1088,-0.002117,0.025856,0,0,0,1.2392,0.0012197,-0.00016376,0.00020961,0.0094966,5.3385E-06,0.010415,0,0,0,0,0,0,package://ur3/meshes/link3.STL,1,1,1,1,0,0,0,0,0,0,package://ur3/meshes/link3.STL,,4160零件1-1,Origin_joint3,基准轴3,joint3,revolute,0.325,0,0.077501,0,0,2.9888,link2,0,0,-1,100,1,-3.14,3.14,,,,,,,,
